price_normalized,returns_normalized,rsi_normalized,macd_hist_normalized,bb_position,atr_normalized,volatility_normalized,I_trend_float
0.370861,-0.009642,0.468391,-0.478520,0.577984,0.110805,-1.684156,0.000000
0.248963,-0.696320,0.420103,-0.541656,0.259166,0.112866,-1.989857,0.000000
0.579618,0.131402,0.406854,-0.527857,0.374742,0.111597,-2.186390,0.000000
0.891089,0.197252,0.510148,-0.450952,0.544286,0.108627,-2.266884,0.000000
0.770000,0.080957,0.547101,-0.364052,0.643742,0.109437,-2.191150,0.000000
0.585987,-0.011909,0.564195,-0.296216,0.779027,0.110057,-2.303483,0.000000
0.186047,-0.328854,0.459981,-0.313439,0.605046,0.108884,-2.422569,1.000000
0.789474,-0.074943,0.547018,-0.339658,0.584048,0.102014,-2.334835,1.000000
0.736486,0.194784,0.567834,-0.318421,0.768339,0.103243,-2.261172,1.000000
0.325056,-0.672167,0.511330,-0.442848,0.314526,0.114239,-2.153949,1.000000
0.757009,0.179779,0.561214,-0.485987,0.464253,0.116060,-2.072807,1.000000
0.867550,-0.006128,0.562500,-0.506993,0.480152,0.116900,-2.005524,1.000000
0.969325,0.477572,0.617520,-0.395306,0.853354,0.113053,-1.951683,1.000000
0.085106,-0.352931,0.495661,-0.389241,0.617022,0.098890,-1.958305,1.000000
1.000000,0.197796,0.512582,-0.322718,0.765889,0.095816,-1.885657,1.000000
0.994565,0.270928,0.650307,-0.200713,0.930621,0.093365,-1.828395,1.000000
0.787234,-0.065198,0.622125,-0.130323,0.885189,0.090711,-1.782928,1.000000
0.343195,-0.307504,0.537079,-0.153218,0.697769,0.093614,-1.711836,1.000000
0.216346,-0.474035,0.448059,-0.275061,0.344181,0.107012,-1.622795,1.000000
0.818182,0.096672,0.456050,-0.319910,0.452554,0.102223,-1.678109,1.000000
0.051948,-0.488739,0.436202,-0.452751,0.120224,0.103352,-1.595586,1.000000
0.000000,-0.120144,0.426912,-0.555878,0.030645,0.102401,-1.639213,1.000000
0.678571,0.350246,0.441509,-0.521405,0.283842,0.103192,-1.597705,1.000000
0.900000,0.899505,0.618659,-0.288966,0.867719,0.094504,-1.465617,1.000000
0.706794,1.927185,0.720080,0.271888,1.000000,0.120526,-1.025537,1.000000
0.189704,-2.643834,0.511153,0.052917,0.432864,0.158846,-0.405887,1.000000
0.240625,-0.473640,0.453931,-0.190523,0.286892,0.165570,-0.387282,0.000000
0.643312,0.045679,0.478390,-0.324266,0.328977,0.168208,-0.373011,0.000000
0.272189,-0.123215,0.457041,-0.417732,0.316615,0.172025,-0.365555,0.000000
0.738382,1.595002,0.529930,-0.100753,0.854861,0.188349,-0.198666,1.000000
0.213953,-0.493296,0.507803,0.003279,0.690057,0.202622,-0.170785,1.000000
0.451477,0.261574,0.537815,0.133364,0.769294,0.205396,-0.153884,1.000000
0.748551,5.579882,0.750063,1.751339,1.000000,0.279588,2.033739,1.000000
0.857598,1.667888,0.778576,3.011530,1.000000,0.316002,2.073402,1.000000
0.284000,-0.526212,0.779101,3.358898,1.000000,0.351422,2.053366,1.000000
0.314978,0.385931,0.792395,3.406715,1.000000,0.385849,2.004430,1.000000
0.461538,0.028130,0.790749,3.221988,0.960358,0.393337,1.951730,1.000000
0.559480,0.779106,0.793702,3.070328,0.950804,0.405061,1.899029,1.000000
0.031079,-0.833031,0.733838,2.628610,0.858810,0.393428,1.886100,1.000000
0.270588,-0.602235,0.822034,2.094396,0.796340,0.364275,1.876508,1.000000
0.435115,0.137170,0.847680,1.676311,0.783295,0.361678,1.803651,1.000000
0.054000,-0.375421,0.831721,1.231896,0.743828,0.376084,1.771435,1.000000
0.563867,1.442989,0.853330,1.146585,0.805661,0.404069,1.770303,1.000000
0.555777,0.686929,0.848563,1.140201,0.819865,0.400206,1.720901,1.000000
0.047146,-0.936747,0.823355,0.863621,0.748229,0.399626,1.687191,1.000000
0.830508,0.196370,0.824478,0.650752,0.744350,0.399343,1.371909,1.000000
0.342670,-0.940750,0.658347,0.259943,0.677472,0.351281,1.383096,1.000000
0.837386,1.068186,0.636787,0.177727,0.736300,0.338821,1.361874,1.000000
